name:1 short_name:81 position:0 id:1 skip_num：0 money:1122 point:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 type：0 num：0 type：1 num：0 type：2 num：0 lucky_god：0 
name:2 short_name:65 position:0 id:2 skip_num：0 money:1122 point:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 house:0 type：0 num：0 type：1 num：0 type：2 num：0 lucky_god：0 
type:8 owner:0 tool:-1 mine:0 price:0 symbol:8 pre_symbol:8 pre_symbol:8 pre_symbol:8 pre_symbol:8 price_all:0 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:2 owner:0 tool:-1 mine:0 price:0 symbol:9 pre_symbol:9 pre_symbol:9 pre_symbol:9 pre_symbol:9 price_all:0 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:0 owner:0 tool:-1 mine:0 price:1 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:200 
type:7 owner:0 tool:-1 mine:0 price:0 symbol:10 pre_symbol:10 pre_symbol:10 pre_symbol:10 pre_symbol:10 price_all:0 
type:0 owner:0 tool:-1 mine:0 price:2 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:500 
type:0 owner:0 tool:-1 mine:0 price:2 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:500 
type:0 owner:0 tool:-1 mine:0 price:2 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:500 
type:0 owner:0 tool:-1 mine:0 price:2 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:500 
type:0 owner:0 tool:-1 mine:0 price:2 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:500 
type:0 owner:0 tool:-1 mine:0 price:2 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:500 
type:4 owner:0 tool:-1 mine:0 price:0 symbol:11 pre_symbol:11 pre_symbol:11 pre_symbol:11 pre_symbol:11 price_all:0 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
type:0 owner:0 tool:-1 mine:0 price:3 symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 pre_symbol:4 price_all:300 
